Name,ShortName,StartDate,City,Country,ExternalUrl
Workshop on Large Foundation Models in Biology and Biomedicine: LFMBio 2026,LFMBio2026,2026-03-06T05:00:00Z,Tucson,USA,https://sites.google.com/view/lfmbio
International Workshop on Smart Waste Monitoring,WasteVision2026,2026-06-03T08:00:00Z,"Tucson, Arizona",USA,https://mivia.unisa.it/wastevision2026/
The Second National Conference on New Educational Technologies and Informatics,NCNETI2025,2025-10-01T07:00:00Z,Guelma,Algeria,https://it.univ-guelma.dz/events/ncneti25/
Eurodyn 2026 - 13th International Conference on Structural Dynamics,EURODYN2026,2026-09-26T22:00:00Z,Hannover,Germany,https://eurodyn2026.org/
9th International Conference on Computational Intelligence in Data Science ,ICCIDS2026,2026-01-07T18:30:00Z,Chennai,India,https://iccids.in/
Call for Collaborative Research Data Science Projects,sdscacademia2025,2026-09-01T08:00:00Z,Lausanne,Switzerland,https://www.datascience.ch/call-for-projects/research-call
Call for Collaborative Data Science Infrastructure Projects 2025,sdscinfrastructure2025,2026-09-01T08:00:00Z,Lausanne,Switzerland,https://www.datascience.ch/call-for-projects/infrastructure-call
Hybrid Intelligence (HI) New Research Initiatives for Human-AI Co-evolution and Learning  2025,NRI2025,2026-09-10T08:00:00Z,Oulu,Finland,https://sites.google.com/view/hi-nri-2025/front-page
2nd International Conference on Intelligent Computing and Knowledge Extraction,ICICKE2026,2026-09-25T08:00:00Z,Bengaluru,India,https://icicke.in/index.php
8th International Conference on Sensors & Transducers,UEMCOS2026,2026-09-25T08:00:00Z,KOLKATA,INDIA,https://sites.google.com/view/uemcos-2026/submission?authuser=0
Fifth International Conference on Network Security and Blockchain Technology,ICNSBT2026,2026-09-25T08:00:00Z,Kolkata,India,https://csikolkata.org/ICNSBT2026
3rd International Conference on Modern Research in Aerospace Engineering,MRAE2025,2025-09-24T18:30:00Z,Noida,India,https://amity.edu/aiae/MRAE2025/Default.aspx
International Conference on AI and Security  for Industrial IoT Systems,AISIIS2026,2026-09-23T18:30:00Z,Hyderabad,India,https://attend.ieee.org/aisiis-2026/
SingHealth Duke-NUS Education Conference 2026,SDEC2026,2026-09-24T16:00:00Z,Singapore,Singapore,https://www.singhealthdukenus.com.sg/conference/SDEC2026/Call-for-Submissions
2026 5th International Conference on Creative Communication and Innovative Technology (ICCIT),ICCIT2026,2026-09-24T08:00:00Z,Jakarta,Indonesia,https://iccit-conference.org/2026/
Central America and Panama Student Convention XLIII Costa Rica 2026,CONESCAPAN2026,2026-09-23T08:00:00Z,San Jose,Costa Rica,https://r9.ieee.org/costarica/conescapan2026/
"4th International Conference on Networks, Multimedia, and Information Technology (NMITCON-2026)",NMITCON2026,2026-09-24T08:00:00Z,Bengaluru,India,https://nitte.edu.in/nmit/nmitcon/
22nd Global Conference on Sustainable Manufacturing,GCSM2026,2026-09-23T08:00:00Z,Colombo,Sri Lanka,https://gcsm.eu/
Marketing Management Association Fall Educators Conference 2026,MMAFALL2026,2026-09-23T05:00:00Z,"New Orleans, LA",United States,https://www.mmaglobal.org/conference/mma-fall-educators-conference-in-person
The Seventh Scientific Conference for Electrical Engineering Techniques Research,EETR2026,2026-09-23T08:00:00Z,Baghdad,Iraq,https://eetr.publisher.mtu.edu.iq/eetr2026
"2026 International Conference on Computer Communication, Information System and Cybersecurity (CCISC 2026)",CCISC2026,2026-09-18T08:00:00Z,Wuxi,China,https://www.ccisc2026.net/
2026 International Conference on Emerging AI Technologies,ICEAIT2026,2026-09-16T08:00:00Z,Tokyo,Japan,https://eait2026.org/
"FIRST INTERNATIONAL CONFERENCE ON NEXUS OF DIGITALIZATION, INTELLIGENCE AND APPLICATIONS",ICNDIA2026,2026-09-17T18:30:00Z,Pune,India,https://aitpune-icndia26.com/
The 3rd International Conference on Technology Innovation and Its Applications  2026,ICTIIA2026,2026-09-16T17:00:00Z,Surabaya,Indonesia,https://ictiia.ftik.bkptki.org/
International Hybrid Conference on Computer Science (IHCONCS2026),IHCONCS2026,2026-09-16T21:00:00Z,Zagreb,Croatia,https://ihconcs.org
The Twelfth International Symposium on Integrated Uncertainty in Knowledge Modelling and Decision Making,IUKM2026,2026-09-14T08:00:00Z,Quy Nhon,Vietnam,https://www.jaist.ac.jp/IUKM/IUKM2026/
International Conference on Artificial Neural Networks 2026,ICANN2026,2026-09-13T22:00:00Z,Padua,Italy,https://e-nns.org/icann2026
2026 International Conference on Advanced Materials for Sustainable Clean Energy and Healthcare Technologies,AMSCEHT2026,2026-09-10T18:30:00Z,Raigarh,India,https://amsceht2026.opju.ac.in/
International Conference on Innovations in Electronics and Electrical Engineering (ICIEEE) 2026,ICIEEE2026,2026-09-11T08:00:00Z,Kuala Lumpur,Malaysia,https://icieee.com/
Students' Chemical Engineering Congress 2026,SCHEMCON2026,2026-09-11T08:00:00Z,Pune,India,https://mitaoe.ac.in/schemcon2026/
1st International Conference on Computational Intelligence and Networked Systems,ICCINS2026,2026-09-10T08:00:00Z,Panipat,India,https://www.ic2ins-gu.com/
Unsolved Problems on Noise 2026,UPoN2026,2026-09-08T08:00:00Z,Messina,Italy,https://upon2026.unime.it/
South Asian Languages Analysis Roundtable ,SALA2026,2026-09-08T23:00:00Z,Bielefeld,Germany,https://wwwhomes.uni-bielefeld.de/jhartmann25/cgi/sala2026/index.php
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases - Journal Track,ECMLPKDDJT2026,2026-09-06T22:00:00Z,Naples,Italy,https://ecmlpkdd.org/2026/submissions-journal-track/
"The 25th International Conference on Intelligent Software Methodologies, Tools, and Techniques Kuala Lumpur, Malaysia | September 9-11, 2026",Somet2026,2026-09-08T15:00:00Z,KUALA LUMPUR CITY,Malaysia,https://www.i-somet.org/somet2026/
"International Conference on Innovations in Electronics, Communication and Computing Techniques",IECT2026,2026-09-09T08:00:00Z,Ghaziabad,India,https://iec2t.akgec.ac.in/
"Making Sustainability 2026: International Conference on Craft, Design and Innovation",MS2026,2026-09-07T08:00:00Z,Leicester,UK,https://makingsustainability2026.our.dmu.ac.uk/
2026 IEEE International Power and Renewable Energy Conference,IPRECON2026,2026-09-03T18:30:00Z,"Karunagappally, Kollam, Kerala",India,https://iprecon.org
International Conference on Innovations in Computing and Emerging Technologies,ICoICET2026,2026-09-02T18:30:00Z,Pune,India,https://mitaoe.ac.in/ICoICET-2026/
Proceedings of the VLDB Volume 19 (for VLDB 2026) Industrial Track,VLDBInd2026,2026-08-31T08:00:00Z,Boston,USA,https://www.vldb.org/2026/
2026 16th International Conference on Advanced Computer Information Technologies,ACIT2026,2026-09-02T08:00:00Z,Zlin,Czech Republic,https://acit.tech/
International Conference on Document Analysis and Recognition,ICDAR2026,2026-08-30T08:00:00Z,Vienna,Austria,https://icdar2026.org/
"Smart RF Communication, Photonics, Geoscience and Remote Sensing Conference",SCPGCON2026,2026-09-02T08:00:00Z,Bengaluru,India,https://conference.manipal.edu/SCPGCON2026/Default.aspx
The 4th International Conference on Applied Mathematics in Engineering,ICAME2026,2026-09-02T08:00:00Z,Balikesir,Turkiye,https://icame.balikesir.edu.tr
Responsible Research in Management Awards 2026,RRMA2026,2026-08-31T04:00:00Z,Philadelphia,United States,https://www.rrma.site/
Intelligent Systems Conference 2026,IntelliSys2026,2026-09-02T18:30:00Z,Amsterdam,Netherlands,https://saiconference.com/IntelliSys
Proceedings of the VLDB Volume 19 (for VLDB 2026),PVLDBv19_2026,2026-08-30T16:00:00Z,Boston,USA,https://vldb.org/2026/
22nd International Conference on Harmonics and Quality of Power,ICHQP2026,2026-08-31T08:00:00Z,Dresden,Germany,https://ichqp2026.org/
"AVSS2026, CONFERENCE ON ADVANCED VISUAL AND SIGNAL-BASED SYSTEMS",AVSS2026,2026-08-30T22:00:00Z,Lecce,Italy,https://www.avss2026.org
Students Conference of Linguistics in India 16,SCONLI2026,2026-06-30T18:30:00Z,Hyderabad ,India,https://sites.google.com/view/sconli16
"11th International Conference on Research Innovations - Trends in Materials, Engineering, and Technology",iCRITMET2026,2026-08-28T08:00:00Z,San Pablo City ,Philippines,https://www.socrd.org/icri-26/
1st UPADI International Conference on Artificial Intelligence,UPADIAI2026,2026-08-25T08:00:00Z,Lima,Peru,https://upadi-ai.itiud.org/
"2nd International Conference on Distributed Systems, Computer Networks and Cybersecurity (ICDSCNC-2026)",ICDSCNC2026,2026-08-27T18:30:00Z,Bengaluru,India,https://icdscnc.co.in/index.php
1st INTERNATIONAL CONFERENCE ON INTELLIGENT AND SMART COMPUTING (ismartcomp2026),ismartcomp2026,2025-12-30T18:30:00Z,Gorakhpur,India,https://mmmut.ac.in/ismartcomp2026/
Nutral Conference in Computer Science and Engineering,CompGineer2026,2026-08-26T08:00:00Z,Sukabumi,Indonesia,https://compgineer.nutral.id/
International Conference on AI in Healthcare 2026,AIiH2026,2026-08-26T08:00:00Z,London,UK,https://aiih.cc
39th Symposium on Integrated Circuits and Systems Design,SBCCI2026,2026-08-24T08:00:00Z,Sao Paulo,Brazil,https://www.sbcci.org.br/
European Meeting of Statisticians 2026,EMS2026,2026-08-24T08:00:00Z,Lugano,Switzerland,https://www.ems26.org
The 18th International Conference on Advances in Social Networks Analysis and Mining,ASONAM2026,2026-08-24T06:00:00Z,Rabat,Morocco,https://asonam.cpsc.ucalgary.ca/2026/
 International Conference on Geotechnical Engineering Colombo 2026,ICGE2026,2026-08-23T18:30:00Z,Colombo ,Sri Lanka,https://icgecolombo2026.org/
2026 6th Power System and Green Energy Conference,PSGEC2026,2026-08-20T16:00:00Z,Shanghai ,China,https://www.psgec.org/
"1st International Conference on Computational Intelligence: Methods, Models, and Real-World Applications",CI2026,2026-08-21T08:00:00Z,Panipat,India,https://www.piet.co.in/icci26/
 2nd International Conference on Advancement in Healthcare Technology and Biomedical Engineering (Scopus/IEEE),AHTBE2026,2026-08-21T07:00:00Z,Vancouver,Canada,https://ahtbe.ca
International Conference on Next‑Generation Data Engineering and Analytics (INDEA-2026),INDEA2026,2026-08-20T18:30:00Z,Manchester ,United Kingdom,https://www.indea-conf.uk/
21st International Conference on Machine Design and Production,UMTIK2026,2026-08-19T08:00:00Z,Istanbul,Turkiye,https://2026.umtik.com/
28th International Conference on Pattern Recognition,ICPR2026,2026-08-17T04:00:00Z,Lyon,France,https://icpr2026.org/
"12th BuildSimNordic conference, and the 4th International Nordic conference for IBPSA",BuildSimNordic2026,2026-08-18T22:00:00Z,Umea,Sweden,https://buildsimnordic2026.ibpsa-nordic.org/
International Conference on Intelligent Computing and Emerging Communication Technologies,ICEC2025,2026-08-18T18:30:00Z,Guntur,India,https://icecconf.org
"2026 11th International Conference on Automation, Control and Robotics Engineering",CACRE2026,2026-08-17T08:00:00Z,Astana,Kazakhstan,https://www.cacre.org/index.html
International Conference on Emerging Technologies in Computing 2026 (iCETiC '26),iCETiC2026,2026-08-13T08:00:00Z,Pontypridd,United Kingdom,https://icetic26.theiaer.org/
2026 International Conference on Sustainable AI for Social Impact and Global Development,SASIGD2026,2026-08-13T08:00:00Z,Hyderabad ,India,https://sasigd.org/
The 14th Canadian-International Conference on Composites,CANCOM2026,2026-08-10T08:00:00Z,Vancouver,Canada,https://cancom2026.ca/
55th Argentinian Conference on Informatics (55 Jornadas Argentinas de Informática),55JAIIO2026,2026-08-10T03:00:00Z,"La Plata, Buenos Aires",Argentina,https://55jaiio.sadio.org.ar/
The 13th Multidisciplinary International Social Networks Conference,MISNC2026,2026-08-09T16:00:00Z,Danang,Vietname,https://tasn.org.tw/misnc2026/
"International Conference on Computing, Electronics & Communications Engineering 2026 (iCCECE '26)",iCCECE2026,2026-08-09T16:00:00Z,Bradford,UK,https://iccece26.theiaer.org/ 
"2nd International Conference on Ambient Intelligence, Knowledge Informatics and Industrial Electronics (AIKIIE)",AIKIIE2026,2026-08-06T18:30:00Z,Ballari,India,https://aikiie.in/
11th International Symposium on Functional Materials 2026,ISFM2026,2026-08-04T08:00:00Z,Yogyakarta,Indonesia,https://conference.brin.go.id/isfm2026/
Nigeria Annual International Conference and Exhibition 2026,NAICE2026,2026-08-03T08:00:00Z,Lagos,Nigeria,https://home.spenigeriacouncil.org/technical-papers
International Conference on Artificial Intelligence and Advanced Computing,ICAIAC2026,2026-08-02T08:00:00Z,Imphal,India,https://iiitmanipur.ac.in/Conferences%20Event/2025_conference/ICAIAC2025.html
XGEN International Conference,XGEN2026,2026-05-04T21:00:00Z,Baia Mare,România,https://www.xgen.ro/
2026 Asian Conference on Applied Psychology,ACAP2026,2026-07-30T08:00:00Z,Singapore,Singapore,https://acap.ear.com.sg
41st International Symposium on Combustion Submission Portal,ISOC2026,2026-07-26T04:00:00Z,Kyoto,Japan,https://www.combustionsymposia.org/
International Conference on Advances and Applications of Artificial Intelligence & Machine Learning-2025,ICAAAIML2025,2024-12-25T18:30:00Z,Greater Noida,India,https://www.icaaaiml.com/index.html
ACM/IMS Journal of Data Science,JDS2022,2022-05-29T21:00:00Z,online,online,http://jds.acm.org
"4th International Conference on Advancements in Smart, Secure And Intelligent Computing ",ASSIC2026,2026-05-14T18:30:00Z,Bhubaneswar,India,https://assic.info/index.php
2026 Asia Economics and Policy Forum,AEPF2026,2026-07-28T08:00:00Z,Singapore,Singapore,https://AEPF.ear.com.sg
81st SWCS International Annual Conference,SWCS2026,2026-07-26T08:00:00Z,"St. Louis, Missouri",United States,https://www.swcs.org/events/conferences/26ac
4th International Conference on Computational Innovation and Social Systems,CISS2026,2026-07-26T15:00:00Z,Aizuwakamatsu and Sonipat,Japan and India,https://www.etltc-aiim-dlst.net/
The 11th International Conference on Computer Science and Computational Intelligence,ICCSCI2026,2026-07-26T17:00:00Z,Medan,Indonesia,https://socs.binus.ac.id/iccsci-2026
3rd International Conference on Social Sciences Research in the Age of AI,SSRAAI2026,2026-07-23T15:00:00Z,Sonipat,India,https://www.icses-a-etltc.net/ssraai-home
Second International Conference on Advances in Smart Computing and Applications,ICASCA2026,2026-07-24T08:00:00Z,Ahmedabad,India,https://www.icasca.in/
4th International Conference on Data Science and Information System (ICDSIS2026),ICDSIS2026,2026-07-24T08:00:00Z,Hassan,India,https://icdsis.in/index.php
10th International Conference on Opto-Electronics and Applied Optics,OPTRONIX2026,2026-07-24T08:00:00Z,KOLKATA,INDIA,https://sites.google.com/view/optronix2026/submission?authuser=0
World Conference on Autonomous Intelligent Systems & Robotics,WcAISR2026,2026-07-23T08:00:00Z,Mohali,India,https://www.cuchd.in/conference/WcAISR-2026/
Australian Conference on Rock Mechanics 2026,ACRM2026,2026-07-21T08:00:00Z,Melbourne,Australia,https://australiangeomechanics.org/meetings/acrm2026/
Social Ontology 2026,ISOS2026,2026-07-21T08:00:00Z,Krakow,Poland,https://isosonline.org/Social-Ontology-2026
The Third International Conference on Holodecks,Holodecks2026,2026-07-24T07:00:00Z,Los Angeles,USA,https://www.holodecks.quest
The Society for Music Perception 2026 Conference,SMPC2026,2026-07-22T05:00:00Z,"Evanston, IL",United States,https://www.musicperception.org/smpc2026
International Conference on Computational Intelligence Systems and Devices,ICCISD2026,2026-07-22T18:30:00Z,Greater Noida,India,https://www.iccisd.com/
31st International Symposium on Advancement of Construction Management and Real Estate,CRIOCM2026,2026-07-21T14:00:00Z,Sydney,Australia,https://www.nobel.org.au/conference
"International Conference on Smart Technologies for Energy, Sustainability & Industry 2026",STESI2026,2026-07-22T08:00:00Z,Jaipur,India,https://www.stesi.in/
The 2026 International Conference on Security and Management (SAM'26),ISAM2026,2026-07-20T04:00:00Z,Las Vegas,USA,http://sam.udmercy.edu/sam26
Medical Image Understanding and Analysis,MIUA2026,2026-07-20T08:00:00Z,Dublin,Ireland,https://www.ucd.ie/medicine/miua2026/
﻿1st IEEE Canadian Atlantic Ocean Symposium 2026,CAOS2026,2026-07-19T03:00:00Z,"Halifax, Nova Scotia",Canada,https://www.ieee-caos.org/
6th International Conference on Computing and Communication Networks,ICCCNet2026,2026-07-17T08:00:00Z,Manchester,United Kingdom,https://icccnet.co.uk
2026 MRS International Risk Conference,MRS2026,2026-07-17T08:00:00Z,Honolulu,USA,https://www.globalmrs.org/mrs2026/index.php
22nd International Conference on Artificial Intelligence Applications and Innovations,AIAI2026,2026-07-15T21:00:00Z,Chania,Greece,https://ifipaiai.org/2026/
27th Engineering Applications and Advances of Artificial Intelligence,EAAAI2026,2026-07-15T21:00:00Z,Chania,Greece,https://eannconf.org/2026/
"2nd IEEE International Conference on Information, Implementation and Innovation in Technology 2026 ",IIITCON2026,2026-07-16T08:00:00Z,Pune,India,https://i2itcon.isquareit.edu.in/
IEEE Conference on Intelligent Electronics and Computational System,IECS2026,2026-07-17T08:00:00Z,BHOPAL,INDIA,https://ieee-conference.onrender.com/
International Conference on Natural Language Processing and Computer Vision,ICNPCV2026,2026-07-17T08:00:00Z,BANGALORE,INDIA,https://icaiaa.com/
New Perspectives in Computational Lexicology and Lexicography: From Data to Dictionaries,NPCLL2026,2026-07-17T08:00:00Z,Wuhan,China,https://computational-lexico.github.io/NPCLL_2026/index.html
"Third International Conference on Electronics, Computing, Communication & Control Technology- 2026",ICECCC2026,2026-07-17T08:00:00Z,Bangalore,India,https://sites.google.com/view/iceccc/home
2026 3rd International Conference on Trends in Engineering Systems and Technologies ,ICTEST2026,2026-07-15T18:30:00Z,Kochi,India,https://www.ictest.in
12th International Conference on Transportation Systems Engineering and Management,CTSEM2026,2026-07-16T18:30:00Z,Hyderabad,India,https://www.mahindrauniversity.edu.in/ctsem-2026/
International Conference on Nonlinear Science and Complexity,NSC2026,2026-07-13T21:00:00Z,Thessaloniki,Greece,https://nsc2026.nscconf.org/
The 26th COTA (Chinese Overseas Transportation Association) International Conference of Transportation Professionals,CICTP2026,2026-07-13T08:00:00Z,"Jinan, Shandong Province",China,https://cictp2026.sdjtu.edu.cn/
2026 IEEE 14th Sensor Array and Multichannel Signal Processing Workshop (SAM),SAM2026,2026-07-13T08:00:00Z,Shenzhen,China,https://attend.ieee.org/sam-2026/
"International Conference on Computer, Mechatronics, Robotics & Artificial Intelligence (ICCMRAI) - 2026",ICCMRAI2026,2026-07-14T18:30:00Z,Pune,India,https://mmit.edu.in/index.php/conference-2026
International Conference on Intelligent Computing and Communication Systems 2026,ICICCS2026,2026-07-13T18:30:00Z,England,United Kingdom,https://iciccsconference.com
The 19th East Asia-Pacific Conference on Structural Engineering and Construction,EASEC2025,2026-07-13T08:00:00Z,Kuala Lumpur,Malaysia,https://www.ukm.my/easec19/
AIS Educator Conference - 2026,AISEA2026,2026-06-15T08:00:00Z,Denver,United States of America,https://aiseducators.net
1st International Conference on Innovations and Applications of Artificial Intelligence,ICIAAI2026,2026-07-13T08:00:00Z,New Damietta,Egypt,https://iciaai.du.edu.eg/
2026 International Conference on Social Media & Society ,SMSociety2026,2026-07-12T23:00:00Z,Glasgow,Scotland,https://socialmediaandsociety.org/
"2026 4th International Conference on Robotics, Control and Vision Engineering",RCVE2026,2026-07-10T08:00:00Z,Tokyo,Japan,https://www.rcve.org/
Society for the Advancement of Biology Education Research 2026 National Meeting,SABER2026,2026-07-09T08:00:00Z,East Lansing,USA,https://saberbio.org/Annual-Meeting
2026 IEEE 6th International Conference on Sustainable Energy and Future Electric Transportation (SEFET),SEFET2026,2026-07-08T08:00:00Z,Nagpur,India,https://vnit.ac.in/sefet26/
Indian Conference on Applied Mechanics 2026,INCAM2026,2026-07-09T08:00:00Z,Kanpur,India,https://incam.isam.co.in/
" 2026 IEEE International Conference on Emerging Trends in Information, Communication & Systems",ICETICS2026,2026-07-09T18:30:00Z,Bhopal,India,https://bgibhopal.com/icetics-2026/
Computing Conference 2026,Computing2026,2026-07-09T08:00:00Z,London,United Kingdom,https://saiconference.com/Computing
4th European Summer School on Artificial Intelligence,ESSAI2026,2026-07-06T08:00:00Z,Vienna,Austria,https://essai2026.eu/
Fifth International Conference on Emerging Frontiers in Electrical and Electronic Technologies (ICEFEET-2026),ICEFEET2026,2026-07-09T08:00:00Z,Patna,India,https://sites.google.com/nitp.ac.in/icefeet-2026/home
UD26 Design Conference,UD2026,2026-07-09T08:00:00Z,Aveiro,Portugal,https://ud26.web.ua.pt
18th Biennial IHPST Conference,IHPST2026,2026-07-05T23:00:00Z,Lisbon,Portugal,https://sites.google.com/view/ihpst2026/home?authuser=0
"14th Conference on Computation, Communication, Aesthetics & X",xCoAx2026,2026-07-07T22:00:00Z,Torino,Italy,https://xcoax.org
"The 39th International Conference on Industrial, Engineering & Other Applications of Applied Intelligent Systems",IEAAIE2026,2026-07-06T08:00:00Z,Kuala Lumpur,Malaysia,https://www.i-somet.org/iea-aie2026/
6th Biennial Zimbabwe University Libraries Consortium Conference,ZULCCON2026,2026-07-06T08:00:00Z,Harare,Zimbabwe,https://zulc.ac.zw/6th-biennial-conference-2026/
14. European Conference on Renewable Energy Systems,ECRES2026,2026-07-07T08:00:00Z,London,UK,https://ecres.net
6. International Conference on Mechanical Engineering,ICMECE2026,2026-07-07T21:00:00Z,London,UK,https://www.icmece.org/index.html
The IEEE International Conference on Multimedia & Expo 2026,IEEEICME2026,2026-07-04T14:00:00Z,Bangkok,Thailand,https://2026.ieeeicme.org
"The 6th International Conference on Electrical, Computer and Energy Technologies",ICECET2026,2026-07-06T08:00:00Z,Rome,Italy,https://www.icecet.com/
Directions in Relevant Logic 3,DRL2026,2026-07-06T08:00:00Z,Bochum,Germany,https://sites.google.com/view/drl3
The 6th International Time Geography Conference (2026),ITGC2026,2026-07-06T08:00:00Z,Toronto,Canada,https://time-geography-conference.vercel.app/
The 31st Asia Pacific Tourism Association (APTA) Annual Conference,APTA2026,2026-07-05T15:00:00Z,Fukuoka,Japan,https://www.apta2026.org/
"12th IEEE International Conference on  Electronics, Computing and Communication Technologies",IEEECONECCT2026,2026-07-02T08:00:00Z,Bengaluru,India,https://sites.google.com/view/ieeeconecct2026
"Second International Conference on Advances in Computer Science, Electrical, Electronics, and Communication Technologies",CEECT2026,2026-07-02T08:00:00Z,"Bhimtal, Nainital, Uttarakhand",India,https://ce2ct.gehu.ac.in/
International Conference on Information Technology and Applications (ICITA) ,ICITAISEM2026,2026-07-01T20:00:00Z,Sydney,Australia,https://sydney2026.icita.world/
"3rd International Conference on Artificial Intelligence Trends and Pattern Recognition, 2026",ICAITPR2026,2026-07-01T18:30:00Z,Hyderabad,India,https://icaitpr.com/
IIM Jammu International Marketing Conference 2026,IMC2026,2026-07-02T18:30:00Z,Jammu,India,https://www.iimj.ac.in/13th-aim-ama-sheth-foundation-doctoral-consortium-and-international-marketing-conference-2026/
5th International Conference on Mechanics of Advanced Materials and Structures,ICMAMS2026,2026-07-01T08:00:00Z,Toulouse,France,https://www.icmams.com/
40th International Workshop in Statistical Modelling,IWSM2026,2026-06-28T08:00:00Z,Oslo,Norway,https://www.mn.uio.no/math/english/research/groups/statistics-data-science/events/conferences/iwsm2026/
Conference on Learning Theory 2026,COLT2026,2026-06-29T08:00:00Z,San Diego,USA,https://learningtheory.org/colt2026/index.html
The 17th International Conference on Information Processing in Computer-Assisted Interventions 2026,IPCAI2026,2026-07-01T23:00:00Z,Nagoya,Japan,https://sites.google.com/view/ipcai2026/
13th AIM-AMA Sheth Foundation Doctoral Consortium and International Marketing Conference 2026,DCIMC2026,2026-06-30T18:30:00Z,Jammu,India,http:// https://www.iimj.ac.in/13th-aim-ama-sheth-foundation-doctoral-consortium-and-international-marketing-conference-2026/
